Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy,PF,22,TOR,29,0,342,4.4,7.9,0.56,0.1,0.2,0.5,4.3,7.7,0.562,3.3,4,0.816,3.2,4.9,8.1,1.2,1.4,1.6,1.8,5.6,12.2
Jeff Adrien,PF,26,CHA,52,5,713,3.6,8.5,0.429,0,0.1,0,3.6,8.4,0.434,3.3,5,0.65,3.4,6.5,9.9,1.8,0.9,1.4,1.6,4,10.6
Arron Afflalo,SF,27,ORL,64,64,2307,6.2,14.1,0.439,1.1,3.7,0.3,5.1,10.4,0.489,3,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
Josh Akognon,PG,26,DAL,3,0,9,8,16,0.5,4,8,0.5,4,8,0.5,0,0,,0,4,4,4,0,0,0,12,20
Cole Aldrich,C,24,TOT,45,0,388,4.1,7.4,0.55,0,0,,4.1,7.4,0.55,1.1,1.9,0.6,2.8,8.4,11.1,0.8,0.5,2.1,2.1,5.6,9.3
Cole Aldrich,C,24,HOU,30,0,213,3.9,7.3,0.535,0,0,,3.9,7.3,0.535,0.7,1.5,0.444,2,7.6,9.6,1,0.5,1.5,2.4,6.9,8.5
Cole Aldrich,C,24,SAC,15,0,175,4.3,7.6,0.568,0,0,,4.3,7.6,0.568,1.6,2.3,0.727,3.7,9.3,13,0.6,0.4,2.9,1.9,3.9,10.3
LaMarcus Aldridge,PF,27,POR,74,74,2790,8.2,17,0.484,0,0.2,0.143,8.2,16.8,0.488,3.6,4.5,0.81,2.3,6.4,8.6,2.5,0.8,1.2,1.8,2.4,20.1
Lavoy Allen,C,23,PHI,79,37,1669,4.4,9.8,0.454,0,0,0,4.4,9.8,0.455,0.9,1.3,0.717,3.4,5.1,8.5,1.6,0.5,1.2,1.2,3.9,9.8
Ray Allen,SG,37,MIA,79,0,2035,5.2,11.5,0.449,2.5,5.9,0.419,2.7,5.6,0.48,2.5,2.8,0.886,0.7,3.1,3.8,2.4,1.2,0.3,1.8,2.3,15.3
Tony Allen,SG,31,MEM,79,79,2109,4.8,10.9,0.445,0.1,0.4,0.125,4.8,10.5,0.458,2.3,3.2,0.717,2.1,4.1,6.2,1.7,2,0.8,1.6,3.6,12
Al-Farouq Aminu,SF,22,NOH,76,71,2066,3.9,8.3,0.475,0.1,0.3,0.211,3.9,7.9,0.486,1.8,2.4,0.737,2.4,7.8,10.2,1.8,1.6,0.9,2,2.7,9.7
Louis Amundson,PF,30,TOT,39,0,372,3.1,7.8,0.395,0,0,,3.1,7.8,0.395,1.2,3.5,0.333,4.6,5.6,10.3,1.1,1.5,1.2,1.8,5.1,7.4
Louis Amundson,PF,30,MIN,20,0,161,3.1,8.5,0.368,0,0,,3.1,8.5,0.368,0.9,4.5,0.2,5.1,5.4,10.5,0.7,1.6,1.3,2.5,5.8,7.2
Louis Amundson,PF,30,CHI,1,0,2,0,18,0,0,0,,0,18,0,0,0,,18,0,18,0,0,0,0,0,0
Louis Amundson,PF,30,NOH,18,0,209,3.1,7.2,0.429,0,0,,3.1,7.2,0.429,1.4,2.8,0.5,4.1,5.9,10,1.4,1.6,1,1.4,4.7,7.6
Chris Andersen,C,34,MIA,42,0,624,4.1,7.1,0.577,0.1,0.2,0.667,4,6.9,0.575,3.6,5.4,0.677,3.3,6.6,9.9,1,0.9,2.5,1.4,5.1,11.9
Alan Anderson,SF,30,TOR,65,2,1495,5.7,14.8,0.383,2.3,6.9,0.333,3.4,8,0.426,3,3.5,0.857,0.8,2.7,3.6,2.5,1.2,0.2,1.9,3.2,16.7
James Anderson,SG-SF,23,TOT,39,2,401,4.7,11.3,0.413,1.9,5.4,0.35,2.8,5.9,0.47,2.2,2.5,0.857,1.6,4.8,6.5,3.8,1.3,0.4,2.2,2.2,13.4
James Anderson,SF,23,SAS,10,0,94,4.2,9.6,0.44,1.9,4.2,0.455,2.3,5.4,0.429,2.7,3.4,0.778,1.1,4.2,5.4,3.4,1.1,0.8,2.7,2.7,13
